Sl. No,Satellite Name,Launch Date,Launch Vehicle,Status,Mission Type,Orbit Type,NORAD ID,Operating Country,Operating Organization,Remarks
43,INSAT-4C,10-07-2006,GSLV-F02,Not Operational,Communications,N/A (launch failure),N/A,India,Indian Space Research Organisation (ISRO),Launch unsuccessful
44,CARTOSAT-2,10-01-2007,PSLV-C40,Not Operational,Earth Observation,Sun-Synchronous Orbit (SSO),29710,India,Indian Space Research Organisation (ISRO),N/A
45,SRE-1,10-01-2007,PSLV-C7,Not Operational,Technology Demonstration (Re-entry),Low Earth Orbit (LEO),29711,India,Indian Space Research Organisation (ISRO),N/A
46,INSAT-4B,12-03-2007,Ariane5,Not Operational,Communications,Geostationary Orbit (GEO),30793,India,Indian Space Research Organisation (ISRO),N/A
47,INSAT-4CR,02-09-2007,GSLV-F04,Not Operational,Communications,Geostationary Orbit (GEO),32050,India,Indian Space Research Organisation (ISRO),N/A
48,CARTOSAT-2A,28-04-2008,PSLV-C9,Operational,Earth Observation,Sun-Synchronous Orbit (SSO),32783,India,Indian Space Research Organisation (ISRO),N/A
49,IMS-1,28-04-2008,PSLV-C9,Not Operational,Technology Demonstration,Sun-Synchronous Orbit (SSO),32786,India,Indian Space Research Organisation (ISRO),N/A
50,CHANDRAYAAN-1,22-10-2008,PSLV-C11,Not Operational,Space Science (Lunar Exploration),Lunar Orbit,33405,India,Indian Space Research Organisation (ISRO),N/A
51,W2M,21-12-2008,Ariane5,Not Operational,Communications,Geostationary Orbit (GEO),N/A,Afghanistan,"Ministry of Communications and Information Technology, Afghanistan (renamed Afghansat 1; originally built for Eutelsat, delivery rejected in 2009)",Satellite built by ISRO for foreign customer
52,RISAT-2,20-04-2009,PSLV-C48,Not Operational,Earth Observation (Radar Imaging),Low Earth Orbit (LEO),34807,India,Indian Space Research Organisation (ISRO),N/A
53,OCEANSAT-2,23-09-2009,PSLV-C14,Not Operational,Earth Observation,Sun-Synchronous Orbit (SSO),35931,India,Indian Space Research Organisation (ISRO),N/A
54,GSAT-4,15-04-2010,GSLV-D3,Not Operational,Communications,N/A (launch failure),N/A,India,Indian Space Research Organisation (ISRO),Launch unsuccessful
55,CARTOSAT-2B,12-07-2010,PSLV-C15,Operational,Earth Observation,Sun-Synchronous Orbit (SSO),36795,India,Indian Space Research Organisation (ISRO),N/A
56,HYLAS,27-11-2010,Ariane5,Not Operational,Communications,Geostationary Orbit (GEO),N/A,United Kingdom,Avanti Communications,Satellite built by ISRO for foreign customer
57,GSAT-5P,25-12-2010,GSLV-F06,Not Operational,Communications,N/A (launch failure),N/A,India,Indian Space Research Organisation (ISRO),Launch unsuccessful
58,RESOURCESAT-2,20-04-2011,PSLV-C16,Operational,Earth Observation,Sun-Synchronous Orbit (SSO),37387,India,Indian Space Research Organisation (ISRO),N/A
59,YOUTHSAT,20-04-2011,PSLV-C16,Not Operational,Technology Demonstration,Sun-Synchronous Orbit (SSO),37388,India,Indian Space Research Organisation (ISRO),N/A
60,GSAT-8,21-05-2011,Ariane-5 VA202,Not Operational,Communications,Geostationary Orbit (GEO),37605,India,Indian Space Research Organisation (ISRO),N/A
61,GSAT-12,15-07-2011,PSLV-C17,Not Operational,Communications,Geostationary Orbit (GEO),37746,India,Indian Space Research Organisation (ISRO),N/A
62,MEGHA TROPIQUES,12-10-2011,PSLV-C18,Not Operational,Earth Observation (Meteorology),Low Earth Orbit (LEO),37838,India,Indian Space Research Organisation (ISRO),N/A
63,RISAT-1,26-04-2012,PSLV-C19,Not Operational,Earth Observation (Radar Imaging),Sun-Synchronous Orbit (SSO),38248,India,Indian Space Research Organisation (ISRO),N/A
64,GSAT-10,29-09-2012,Ariane-5 VA209,Operational,Communications,Geostationary Orbit (GEO),38779,India,Indian Space Research Organisation (ISRO),N/A
65,SARAL,25-02-2013,PSLV-C20,Operational,Earth Observation (Altimetry),Sun-Synchronous Orbit (SSO),39086,India,Indian Space Research Organisation (ISRO),N/A
